                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.072,                 2.0456,                 2.3606,                0.97279,                    0.5,                 0.6971,                0.37655,                  1.716,                 2.1123,                 2.2259,              0.0014492,              0.0014492,              0.0014492
                     35,                 2.0744,                 2.0404,                 2.3697,                0.54061,                0.39192,                0.56256,                0.32627,                 1.7235,                 2.2789,                 2.3017,              0.0014426,              0.0014426,              0.0014426
                     36,                 2.0349,                 1.9678,                 2.3752,                0.53459,                  0.425,                0.59774,                0.28554,                 1.8311,                 1.9449,                 2.4166,               0.001436,               0.001436,               0.001436
                     37,                 2.0541,                 2.0853,                 2.3989,                0.63074,                    0.6,                0.70953,                0.34054,                 1.8025,                 1.9136,                 2.3673,              0.0014294,              0.0014294,              0.0014294
                     38,                 2.0736,                 1.9427,                 2.3607,                0.92391,                   0.25,                 0.5078,                0.21406,                   2.01,                 3.0868,                 2.8642,              0.0014228,              0.0014228,              0.0014228
                     39,                 2.1503,                 2.0669,                 2.4251,                0.36253,                0.33461,                 0.5275,                0.23826,                 1.8707,                 2.6329,                 2.5744,              0.0014161,              0.0014161,              0.0014161
                     40,                 2.0885,                 2.0577,                 2.4254,                0.81687,                   0.45,                0.66282,                0.35996,                 1.7209,                 2.1506,                 2.3348,              0.0014095,              0.0014095,              0.0014095
                     41,                 1.8752,                 1.8538,                 2.2332,                0.69614,                   0.45,                0.55148,                0.33872,                 1.6786,                 2.1926,                 2.3403,              0.0014029,              0.0014029,              0.0014029
                     42,                 2.0127,                 1.8794,                  2.319,                0.93844,                 0.4327,                0.71511,                0.44498,                 1.7072,                 2.0464,                 2.3408,              0.0013963,              0.0013963,              0.0013963
                     43,                 1.9028,                  1.837,                 2.2383,                0.87863,                0.57723,                0.73911,                0.39234,                 1.6926,                 1.9155,                 2.3024,              0.0013897,              0.0013897,              0.0013897
                     44,                 1.8741,                 1.7627,                 2.2043,                0.72475,                0.49475,                0.67928,                0.36583,                 1.6639,                 1.9569,                 2.2883,              0.0013831,              0.0013831,              0.0013831
                     45,                 1.9461,                 1.7827,                 2.2317,                0.77331,                0.44486,                0.58884,                0.30205,                   1.65,                 2.2507,                 2.3211,              0.0013765,              0.0013765,              0.0013765
                     46,                 1.9126,                 1.8455,                 2.2235,                0.79039,                0.59989,                0.71716,                0.40051,                 1.6467,                 1.8456,                 2.2198,              0.0013699,              0.0013699,              0.0013699
                     47,                 1.8869,                 1.7665,                 2.2542,                0.84782,                0.55933,                 0.7715,                0.44315,                  1.483,                 1.6936,                 2.1001,              0.0013633,              0.0013633,              0.0013633
                     48,                 1.7652,                 1.5526,                 2.0136,                0.46267,                   0.65,                0.70028,                0.35438,                 1.6247,                 1.6622,                 2.1549,              0.0013567,              0.0013567,              0.0013567
                     49,                 1.8531,                 1.7191,                 2.1368,                0.59615,                  0.775,                 0.7412,                0.39603,                 1.5406,                 1.5979,                 2.0383,              0.0013501,              0.0013501,              0.0013501
                     50,                 1.8223,                  1.646,                 2.1559,                0.65807,                0.79255,                0.71905,                0.38492,                 1.7192,                 1.7565,                 2.1622,              0.0013435,              0.0013435,              0.0013435
                     51,                 1.7459,                 1.6094,                 2.0694,                0.57776,                   0.85,                0.66651,                0.41292,                 1.6585,                 1.6739,                 2.1617,              0.0013369,              0.0013369,              0.0013369
                     52,                  1.809,                 1.6619,                 2.1308,                0.73105,                0.62848,                0.70484,                0.39968,                 1.5757,                 1.5357,                 2.1242,              0.0013303,              0.0013303,              0.0013303
                     53,                 1.7132,                 1.4806,                 2.0028,                0.69498,                   0.65,                0.78402,                0.37208,                 1.6998,                 1.5842,                   2.17,              0.0013237,              0.0013237,              0.0013237
                     54,                 1.8427,                 1.4985,                 2.0305,                0.95693,                0.66684,                0.79451,                0.39479,                 1.6384,                 1.6119,                 2.1096,              0.0013171,              0.0013171,              0.0013171
                     55,                 1.7108,                 1.5684,                 2.0779,                0.85948,                0.70074,                0.83339,                0.46438,                 1.4803,                 1.5551,                 1.9853,              0.0013105,              0.0013105,              0.0013105
                     56,                 1.7249,                 1.7015,                 2.0847,                0.63088,                   0.95,                0.85578,                0.44741,                 1.5646,                 1.4597,                 1.9852,              0.0013039,              0.0013039,              0.0013039
                     57,                 1.6689,                 1.4596,                 1.9527,                0.73937,                    0.6,                 0.7858,                 0.4412,                 1.5166,                 1.4373,                 2.0488,              0.0012973,              0.0012973,              0.0012973
                     58,                 1.8007,                 1.6246,                  2.131,                0.92883,                    0.6,                  0.684,                0.38039,                  1.572,                 1.7053,                 2.0818,              0.0012907,              0.0012907,              0.0012907
                     59,                 1.7156,                 1.4687,                 2.0073,                 0.8305,                   0.65,                0.70307,                0.37548,                 1.6411,                 1.6506,                 2.0854,              0.0012841,              0.0012841,              0.0012841
                     60,                 1.7443,                 1.4881,                 2.0352,                0.82172,                   0.65,                0.73829,                0.35208,                 1.6623,                 1.6959,                 2.1369,              0.0012775,              0.0012775,              0.0012775
                     61,                 1.7685,                  1.642,                 2.1334,                0.83109,                0.71554,                0.82196,                0.45432,                 1.5839,                 1.4307,                 1.9977,              0.0012709,              0.0012709,              0.0012709
